POST_VISID_HIGH,POST_VISID_LOW,DF_NB_OCC,VISID_HIGH,VISID_LOW,SAVIESA_NB_OCC
3694866599744892888,6917553357107470222,5,3694866599744892888,6917553357107470222,7
5157973517604444698,4210083175974339905,5,5157973517604444698,4210083175974339905,12
8875633185798711689,5619332692482929815,5,8875633185798711689,5619332692482929815,21
6406375936037095089,2331139940928341389,6,6406375936037095089,2331139940928341389,22
506472505696169502,7164081808310402370,5,506472505696169502,7164081808310402370,12
3988401554326228166,5204684479109009192,41,3988401554326228166,5204684479109009192,52
3696802087130790813,6917548265343000393,27,3696802087130790813,6917548265343000393,47
5414377715216751790,4228856534892564406,5,5414377715216751790,4228856534892564406,8
8294589140664756826,4451775047697595892,15,8294589140664756826,4451775047697595892,16
6653571981145247079,4449073826409540233,2,6653571981145247079,4449073826409540233,4
3698037169334000381,4611697125773936214,8,3698037169334000381,4611697125773936214,10
2961542630727962223,5606766304017139923,5,2961542630727962223,5606766304017139923,7
3589358710768258504,4611702374500493691,2,3589358710768258504,4611702374500493691,4
3601327867864562615,3984960970381343193,29,3601327867864562615,3984960970381343193,50
23607705755114733,7794835501816977591,2,23607705755114733,7794835501816977591,7
8570604900622636607,6751306061015225569,2,8570604900622636607,6751306061015225569,7
3871729160629392822,2578587066791231627,60,3871729160629392822,2578587066791231627,61
2897180807786614030,878282454627648258,9,2897180807786614030,878282454627648258,34
1622899779708552847,4985837646051510887,8,1622899779708552847,4985837646051510887,23
8286551736842560570,3718131076708048127,6,8286551736842560570,3718131076708048127,11
2430598795041169841,2121829083331853868,2,2430598795041169841,2121829083331853868,3
5488486181258939114,4419062101811659796,4,5488486181258939114,4419062101811659796,20
3495530117762802021,6917532233822353126,21,3495530117762802021,6917532233822353126,31
3560714338818529155,6917548321392443220,8,3560714338818529155,6917548321392443220,9
2877470671329330728,1779452517695876973,14,2877470671329330728,1779452517695876973,15
6836196408199917938,4918377530838792498,21,6836196408199917938,4918377530838792498,45
5530000610625013403,133109584809837714,4,5530000610625013403,133109584809837714,22
9011293278722992115,5283476572838782484,1,9011293278722992115,5283476572838782484,2
3306144092289837028,4611687220481483981,14,3306144092289837028,4611687220481483981,20
7180863028760031651,7229922981050721400,1,7180863028760031651,7229922981050721400,4
9186353344986123910,3047489365522218958,12,9186353344986123910,3047489365522218958,30
